platform,platform_code,platform_family
Instagram,IG,Meta
Facebook,FB,Meta
Meta,MT,Meta
TikTok,TT,TikTok
YouTube,YT,Google
Programmatic,PR,Programmatic
Snapchat,SC,Snapchat
Amazon,AM,Retail Media
Koora,KO,Local Publishers
Shahid,SH,Local Publishers
Google Search,GS,Google
Noon,NN,Retail Media
